Control Character & Mojibake Scan
-----------------------------------
File: src/renderer/js/app.js | Line: 2 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 4 | Char: Ã | Code Point: U+00C3 | Escaped: \u00c3 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 4 | Char: Ã | Code Point: U+00C3 | Escaped: \u00c3 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 4 | Char: Æ | Code Point: U+00C6 | Escaped: \u00c6 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 4 | Char: » | Code Point: U+00BB | Escaped: \u00bb | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 4 | Char: Æ | Code Point: U+00C6 | Escaped: \u00c6 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 4 | Char: » | Code Point: U+00BB | Escaped: \u00bb | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 4 | Char:  | Code Point: U+009D | Escaped: \u009d | Category: ASCII/C1 Control
File: src/renderer/js/app.js | Line: 4 | Char: Ã | Code Point: U+00C3 | Escaped: \u00c3 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 5 | Char: Ã | Code Point: U+00C3 | Escaped: \u00c3 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 5 | Char: Ã | Code Point: U+00C3 | Escaped: \u00c3 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 6 | Char: Ä | Code Point: U+00C4 | Escaped: \u00c4 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 6 | Char: Æ | Code Point: U+00C6 | Escaped: \u00c6 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 6 | Char: » | Code Point: U+00BB | Escaped: \u00bb | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
